BNB   | BB:2.5 ATR:4.0 RR:1.25 ADX:25 | WR:78.6% PnL:+21.3% DD:2.1% | 5/yr
NEAR  | BB:3.0 ATR:4.0 RR:1.0 ADX:25 | WR:71.4% PnL:+5.4% DD:2.1% | 2/yr
SUI   | BB:2.0 ATR:4.0 RR:1.0 ADX:25 | WR:72.2% PnL:+52.6% DD:6.4% | 18/yr
NOT   | BB:2.0 ATR:6.0 RR:1.25 ADX:0 | WR:54.0% PnL:+25.0% DD:9.8% | 21/yr
TAO   | BB:2.0 ATR:5.0 RR:1.25 ADX:0 | WR:59.0% PnL:+41.9% DD:8.0% | 20/yr
ONDO  | BB:2.5 ATR:5.0 RR:1.25 ADX:0 | WR:55.6% PnL:+7.1% DD:4.1% | 6/yr
ENA   | BB:2.0 ATR:4.0 RR:1.0 ADX:25 | WR:60.5% PnL:+13.7% DD:8.1% | 13/yr
FET   | BB:2.0 ATR:6.0 RR:1.0 ADX:25 | WR:69.0% PnL:+33.7% DD:4.1% | 14/yr
WIF   | BB:3.0 ATR:5.0 RR:1.25 ADX:25 | WR:100.0% PnL:+15.7% DD:0.0% | 2/yr
SHIB  | BB:2.5 ATR:6.0 RR:1.25 ADX:15 | WR:53.7% PnL:+14.6% DD:6.0% | 14/yr
