timestamp,open,high,low,close,volume
2023-07-22 11:30:00,29874.0,29880.86,29873.03,29880.85,74.68778
2023-07-22 11:45:00,29880.85,29888.75,29880.85,29886.94,78.26521
2023-07-22 12:00:00,29886.93,29886.94,29867.22,29867.23,77.23898
2023-07-22 12:15:00,29867.22,29876.0,29855.0,29875.99,110.60595
2023-07-22 12:30:00,29875.99,29876.0,29840.0,29843.21,125.43407
2023-07-22 12:45:00,29843.22,29855.71,29828.77,29840.84,196.9159
2023-07-22 13:00:00,29840.85,29852.0,29835.2,29850.01,86.94782
2023-07-22 13:15:00,29850.01,29867.64,29849.95,29864.02,83.43041
2023-07-22 13:30:00,29864.03,29864.03,29851.17,29851.18,56.50902
2023-07-22 13:45:00,29851.17,29851.18,29848.29,29848.3,42.22223
2023-07-22 14:00:00,29848.3,29883.88,29848.29,29872.08,79.25063
2023-07-22 14:15:00,29872.08,29893.67,29848.73,29850.99,76.90223
2023-07-22 14:30:00,29851.0,29883.76,29847.47,29870.44,143.53446
2023-07-22 14:45:00,29870.44,29883.87,29855.39,29883.87,375.56819
2023-07-22 15:00:00,29883.87,29887.73,29872.88,29872.88,210.71009
2023-07-22 15:15:00,29872.88,29885.99,29859.14,29881.98,98.32732
2023-07-22 15:30:00,29881.98,29891.96,29863.81,29891.94,86.16492
2023-07-22 15:45:00,29891.94,29907.35,29891.94,29900.24,114.41273
2023-07-22 16:00:00,29900.23,29908.71,29865.25,29865.26,166.34567
2023-07-22 16:15:00,29865.25,29881.42,29862.61,29877.84,141.33666
2023-07-22 16:30:00,29877.83,29898.94,29877.83,29898.93,67.25045
2023-07-22 16:45:00,29898.94,29902.4,29897.08,29899.99,139.46279
2023-07-22 17:00:00,29900.0,29900.0,29889.77,29889.78,62.42659
2023-07-22 17:15:00,29889.77,29893.08,29888.0,29888.0,63.47293
2023-07-22 17:30:00,29888.0,29888.01,29839.78,29843.46,109.23407
2023-07-22 17:45:00,29843.47,29843.47,29810.0,29837.35,274.03045
2023-07-22 18:00:00,29837.35,29837.35,29801.66,29809.86,114.85307
2023-07-22 18:15:00,29809.85,29832.28,29802.92,29825.48,158.38581
2023-07-22 18:30:00,29825.49,29832.28,29821.94,29823.53,60.70829
2023-07-22 18:45:00,29823.54,29823.54,29805.19,29814.23,72.60374
2023-07-22 19:00:00,29814.23,29857.36,29805.0,29845.01,137.44177
2023-07-22 19:15:00,29845.0,29847.55,29831.11,29838.93,88.97803
2023-07-22 19:30:00,29838.92,29838.93,29818.13,29838.93,85.58954
2023-07-22 19:45:00,29838.93,29848.68,29832.11,29836.0,59.28895
2023-07-22 20:00:00,29836.0,29836.01,29819.42,29826.01,96.82663
2023-07-22 20:15:00,29826.01,29837.81,29820.86,29834.03,54.42496
2023-07-22 20:30:00,29834.02,29839.75,29828.01,29839.74,42.13775
2023-07-22 20:45:00,29839.75,29839.75,29827.23,29827.24,65.97279
2023-07-22 21:00:00,29827.25,29831.15,29823.51,29831.15,61.86106
2023-07-22 21:15:00,29831.14,29833.53,29815.48,29833.52,90.09394
2023-07-22 21:30:00,29833.53,29833.81,29826.5,29829.72,43.79632
2023-07-22 21:45:00,29829.71,29832.03,29827.03,29827.04,34.95971
2023-07-22 22:00:00,29827.04,29832.58,29822.04,29824.32,126.54715
2023-07-22 22:15:00,29824.31,29824.32,29800.0,29814.52,97.81251
2023-07-22 22:30:00,29814.51,29818.08,29801.25,29818.07,124.18592
2023-07-22 22:45:00,29818.08,29818.08,29785.72,29808.0,130.7054
2023-07-22 23:00:00,29807.99,29814.56,29794.71,29799.64,102.41201
2023-07-22 23:15:00,29799.64,29799.65,29625.1,29697.18,1425.05726
2023-07-22 23:30:00,29697.18,29719.34,29644.26,29699.33,479.86932
2023-07-22 23:45:00,29699.32,29794.0,29674.35,29794.0,402.09102
2023-07-23 00:00:00,29793.99,29819.93,29772.6,29772.79,325.70089
2023-07-23 00:15:00,29772.78,29805.07,29764.11,29800.31,140.43438
2023-07-23 00:30:00,29800.3,29800.31,29758.79,29771.93,135.92853
2023-07-23 00:45:00,29771.93,29778.38,29730.0,29778.38,228.60922
2023-07-23 01:00:00,29778.37,29844.96,29778.37,29814.8,191.09714
2023-07-23 01:15:00,29814.79,29875.0,29814.79,29846.01,201.77945
2023-07-23 01:30:00,29846.0,29846.77,29828.08,29838.48,74.46795
2023-07-23 01:45:00,29838.48,29855.0,29825.56,29826.16,108.80141
2023-07-23 02:00:00,29826.17,29829.15,29811.0,29816.0,64.57694
2023-07-23 02:15:00,29815.99,29880.05,29815.99,29880.04,200.59535
2023-07-23 02:30:00,29880.05,29880.05,29853.16,29867.26,87.98115
2023-07-23 02:45:00,29867.26,29893.77,29852.0,29885.12,201.53302
2023-07-23 03:00:00,29885.12,29885.13,29855.46,29861.76,96.22585
2023-07-23 03:15:00,29861.76,29864.0,29856.31,29864.0,59.61647
2023-07-23 03:30:00,29863.99,29864.0,29842.0,29855.69,42.88972
2023-07-23 03:45:00,29855.69,29855.7,29840.0,29845.72,49.89216
2023-07-23 04:00:00,29845.71,29867.39,29845.71,29864.64,192.3847
2023-07-23 04:15:00,29864.64,29870.0,29852.0,29853.99,104.99084
2023-07-23 04:30:00,29854.0,29879.87,29853.99,29873.18,94.81287
2023-07-23 04:45:00,29873.18,29920.0,29870.0,29905.22,399.79871
2023-07-23 05:00:00,29905.23,29935.68,29898.01,29932.69,292.95491
2023-07-23 05:15:00,29932.68,29980.88,29930.0,29965.38,401.04928
2023-07-23 05:30:00,29965.39,29979.55,29938.0,29951.57,352.89544
2023-07-23 05:45:00,29951.57,29957.34,29913.99,29921.99,143.16363
2023-07-23 06:00:00,29921.99,29938.98,29900.0,29905.99,157.31701
2023-07-23 06:15:00,29906.0,29917.78,29900.01,29901.13,99.16534
2023-07-23 06:30:00,29901.13,29921.91,29894.73,29910.46,112.71649
2023-07-23 06:45:00,29910.46,29934.0,29900.0,29919.41,105.71607
2023-07-23 07:00:00,29919.41,29921.39,29898.92,29898.92,95.56019
2023-07-23 07:15:00,29898.93,29906.0,29890.0,29904.01,94.22903
2023-07-23 07:30:00,29904.02,29904.02,29889.27,29892.01,69.93467
2023-07-23 07:45:00,29892.0,29930.26,29885.01,29916.0,208.22409
2023-07-23 08:00:00,29916.0,29923.84,29897.58,29897.58,112.18381
2023-07-23 08:15:00,29897.59,29897.59,29887.6,29897.4,92.50867
2023-07-23 08:30:00,29897.41,29947.44,29897.4,29947.43,195.89359
2023-07-23 08:45:00,29947.44,29959.0,29930.72,29948.01,311.62812
2023-07-23 09:00:00,29948.01,29955.66,29933.41,29933.42,127.23747
2023-07-23 09:15:00,29933.41,29933.42,29917.23,29926.8,79.30432
2023-07-23 09:30:00,29926.81,29926.81,29896.85,29908.07,149.55921
2023-07-23 09:45:00,29908.07,29913.37,29900.17,29900.18,75.74853
2023-07-23 10:00:00,29900.17,29905.3,29897.74,29904.0,164.77363
2023-07-23 10:15:00,29904.01,29914.85,29904.0,29914.0,63.98921
2023-07-23 10:30:00,29914.01,29914.01,29888.75,29893.99,204.19416
2023-07-23 10:45:00,29894.0,29901.99,29884.77,29887.59,149.23322
2023-07-23 11:00:00,29887.6,29892.66,29887.11,29892.65,56.40536
2023-07-23 11:15:00,29892.65,29899.58,29890.01,29899.58,82.79852
2023-07-23 11:30:00,29899.57,29923.1,29899.57,29915.13,61.64886
2023-07-23 11:45:00,29915.12,29915.13,29884.0,29888.58,79.43458
2023-07-23 12:00:00,29888.59,29914.3,29886.0,29914.29,94.71927
2023-07-23 12:15:00,29914.3,29914.3,29902.69,29907.47,81.73346
2023-07-23 12:30:00,29907.47,29908.58,29902.11,29902.12,56.8706
2023-07-23 12:45:00,29902.11,29931.51,29890.0,29919.7,106.20665
2023-07-23 13:00:00,29919.69,29921.66,29871.71,29891.7,164.83736
2023-07-23 13:15:00,29891.7,29908.0,29864.87,29868.0,155.84975
2023-07-23 13:30:00,29868.0,29880.16,29852.29,29879.18,90.43599
2023-07-23 13:45:00,29879.17,29896.42,29879.17,29888.36,80.63216
2023-07-23 14:00:00,29888.35,29902.59,29888.07,29902.59,72.62387
2023-07-23 14:15:00,29902.58,29902.59,29886.01,29886.02,93.24123
2023-07-23 14:30:00,29886.02,29907.26,29886.0,29907.26,62.80888
2023-07-23 14:45:00,29907.25,29907.26,29894.79,29894.82,108.41792
2023-07-23 15:00:00,29894.82,29914.21,29894.81,29908.18,81.30537
2023-07-23 15:15:00,29908.18,29908.18,29894.0,29894.01,57.6884
