timestamp,close,high,low,n,open,volume,vw
2023-07-24 13:00:00+00:00,453.1,454.4,452.75,1111,453.38,94253,453.578549
2023-07-24 14:00:00+00:00,454.19,454.295,452.93,1230,453.195,121693,453.849078
2023-07-24 15:00:00+00:00,454.47,454.57,453.77,933,454.29,82895,454.277645
2023-07-24 16:00:00+00:00,454.29,454.705,454.01,796,454.44,51592,454.355898
2023-07-24 17:00:00+00:00,454.77,454.82,454.04,944,454.3,107931,454.447435
2023-07-24 18:00:00+00:00,454.295,455.01,453.86,1140,454.785,84100,454.509563
2023-07-24 19:00:00+00:00,454.19,454.43,453.43,1693,454.305,190146,453.918076
2023-07-24 20:00:00+00:00,454.47,454.47,454.2,45,454.27,12442,454.296859
2023-07-25 13:00:00+00:00,454.78,455.1,453.915,1006,453.94,90560,454.452146
2023-07-25 14:00:00+00:00,454.625,455.05,454.47,1416,454.85,104610,454.768882
2023-07-25 15:00:00+00:00,455.38,455.6,454.56,1147,454.6,83116,455.174284
2023-07-25 16:00:00+00:00,455.89,455.89,455.225,1206,455.36,84943,455.466293
2023-07-25 17:00:00+00:00,455.815,456.11,455.57,913,455.88,68870,455.89592
2023-07-25 18:00:00+00:00,455.82,456.71,455.715,1269,455.79,105541,456.266605
2023-07-25 19:00:00+00:00,455.36,456.245,455.36,2714,455.86,251298,455.773617
2023-07-25 20:00:00+00:00,455.12,455.3,455.1,7,455.3,1100,455.199091
2023-07-26 13:00:00+00:00,454.79,455.115,454.445,672,454.5,62863,454.780614
2023-07-26 14:00:00+00:00,454.16,454.96,454.065,1322,454.81,104085,454.567568
2023-07-26 15:00:00+00:00,454.94,454.975,453.995,1254,454.15,108774,454.432591
2023-07-26 16:00:00+00:00,454.19,455.125,454.07,814,454.935,59888,454.723638
2023-07-26 17:00:00+00:00,454.29,454.47,454.08,1059,454.25,84676,454.275174
2023-07-26 18:00:00+00:00,455.99,456.9,453.9,1428,454.16,163854,455.637015
2023-07-26 19:00:00+00:00,455.505,456.2,453.41,2476,456.05,330083,454.761187
2023-07-26 20:00:00+00:00,455.62,455.72,455.44,5,455.44,1460,455.575172
2023-07-27 13:00:00+00:00,458.95,459.44,458.7,1091,459.08,138538,459.097888
2023-07-27 14:00:00+00:00,457.38,459.04,457.28,1924,459.015,190671,458.214431
2023-07-27 15:00:00+00:00,457.425,457.99,457.065,1396,457.48,125981,457.54735
2023-07-27 16:00:00+00:00,458.23,458.58,457.405,1110,457.445,107259,458.095402
2023-07-27 17:00:00+00:00,455.955,458.57,455.74,1551,458.4,168112,456.58952
2023-07-27 18:00:00+00:00,452.77,456.185,452.765,2798,455.955,368581,454.022108
2023-07-27 19:00:00+00:00,452.5,453.86,451.58,2742,452.685,337099,452.585454
2023-07-27 20:00:00+00:00,452.94,452.94,452.94,1,452.94,500,452.94
2023-07-28 13:00:00+00:00,456.08,456.57,455.205,1298,455.775,132602,456.05827
2023-07-28 14:00:00+00:00,456.735,456.87,456.0,2092,456.23,227730,456.549147
2023-07-28 15:00:00+00:00,457.65,457.78,456.59,1606,456.84,153992,457.365895
2023-07-28 16:00:00+00:00,457.07,457.68,456.95,1087,457.675,104651,457.285122
2023-07-28 17:00:00+00:00,456.24,456.97,455.12,1556,456.97,147286,455.978096
2023-07-28 18:00:00+00:00,456.94,457.34,456.155,1774,456.25,146613,456.707039
2023-07-28 19:00:00+00:00,456.91,457.3,456.395,2961,457.07,353413,456.863725
2023-07-28 20:00:00+00:00,456.85,456.93,456.74,24,456.74,13191,456.846733
2023-07-31 13:00:00+00:00,457.0,458.11,456.54,958,457.41,107571,457.568951
2023-07-31 14:00:00+00:00,457.475,457.82,456.695,1671,457.01,118446,457.379032
2023-07-31 15:00:00+00:00,456.945,457.83,456.685,1293,457.575,84240,457.178584
2023-07-31 16:00:00+00:00,456.635,457.23,456.505,1050,456.945,59774,456.972019
2023-07-31 17:00:00+00:00,456.855,457.155,456.29,1090,456.61,80582,456.730534
2023-07-31 18:00:00+00:00,457.05,457.18,456.48,915,456.89,66018,456.838517
2023-07-31 19:00:00+00:00,457.81,457.83,456.07,2258,457.065,278465,456.797436
2023-07-31 20:00:00+00:00,457.91,458.09,457.67,34,457.71,22428,457.819704
2023-08-01 13:00:00+00:00,456.77,456.915,456.08,1505,456.32,157546,456.594794
2023-08-01 14:00:00+00:00,456.285,457.19,455.53,2351,456.8,242315,456.210175
2023-08-01 15:00:00+00:00,456.145,456.46,455.8,1034,456.39,85718,456.069628
2023-08-01 16:00:00+00:00,456.33,456.33,455.505,1223,456.17,97335,455.928123
