timestamp,close,high,low,n,open,volume,vw
2023-07-24 13:00:00+00:00,256.61,259.1,254.17,2179,255.79,164232,256.790514
2023-07-24 14:00:00+00:00,261.3,262.56,256.8,1800,256.8,121341,260.25
2023-07-24 15:00:00+00:00,265.785,266.14,260.9,1763,261.3,104070,263.99968
2023-07-24 16:00:00+00:00,266.97,267.49,265.375,1144,265.88,62321,266.462755
2023-07-24 17:00:00+00:00,269.14,269.44,265.96,1090,266.915,61952,267.676467
2023-07-24 18:00:00+00:00,269.3,269.74,267.67,937,269.16,61536,268.716103
2023-07-24 19:00:00+00:00,269.12,269.525,267.53,1459,269.35,78127,268.645439
2023-07-25 13:00:00+00:00,270.33,272.82,268.86,2421,272.51,162409,270.811297
2023-07-25 14:00:00+00:00,266.15,270.95,265.43,1820,270.255,122421,267.871264
2023-07-25 15:00:00+00:00,268.22,269.34,265.63,916,266.11,62092,267.47338
2023-07-25 16:00:00+00:00,268.81,269.12,266.96,611,267.81,34238,267.960599
2023-07-25 17:00:00+00:00,268.62,270.12,268.315,460,268.75,22042,269.152076
2023-07-25 18:00:00+00:00,267.55,269.93,267.39,658,268.725,43027,268.786693
2023-07-25 19:00:00+00:00,265.235,268.32,265.0,1369,267.77,67362,266.532557
2023-07-26 13:00:00+00:00,266.81,267.43,261.81,1243,263.155,66302,264.602729
2023-07-26 14:00:00+00:00,264.0,268.0,263.71,1139,267.25,68145,266.468492
2023-07-26 15:00:00+00:00,264.42,264.99,263.23,828,264.01,57325,264.195424
2023-07-26 16:00:00+00:00,263.5,264.96,262.83,545,264.48,36679,263.892734
2023-07-26 17:00:00+00:00,263.49,264.62,263.48,351,263.64,22143,264.075035
2023-07-26 18:00:00+00:00,265.57,266.28,263.6,991,264.21,52281,265.208739
2023-07-26 19:00:00+00:00,264.3,265.74,263.44,1345,265.53,76509,264.233012
2023-07-27 13:00:00+00:00,266.17,269.07,265.82,1434,268.21,70030,267.813253
2023-07-27 14:00:00+00:00,264.63,266.95,263.415,1568,266.36,81232,264.898152
2023-07-27 15:00:00+00:00,266.42,266.47,264.31,910,264.7,41716,265.609752
2023-07-27 16:00:00+00:00,265.385,267.45,265.17,1151,266.4,50498,266.383897
2023-07-27 17:00:00+00:00,262.75,265.605,261.85,1322,265.285,62803,263.235956
2023-07-27 18:00:00+00:00,256.84,262.95,256.83,1746,262.48,107375,259.418672
2023-07-27 19:00:00+00:00,255.73,258.04,255.305,2650,256.635,156168,256.412192
2023-07-28 13:00:00+00:00,261.82,262.95,258.26,1676,259.89,104111,261.156949
2023-07-28 14:00:00+00:00,262.83,263.98,260.59,1431,262.14,81485,262.432108
2023-07-28 15:00:00+00:00,266.22,266.41,262.31,1592,263.02,110434,264.851056
2023-07-28 16:00:00+00:00,265.67,266.98,264.63,1117,266.24,69759,265.891235
2023-07-28 17:00:00+00:00,265.31,266.35,263.91,911,265.56,62269,265.322271
2023-07-28 18:00:00+00:00,266.88,267.23,264.7,917,265.26,60537,266.032693
2023-07-28 19:00:00+00:00,266.54,266.965,265.19,1800,266.965,124209,266.079889
