datetime,open,high,low,close
2023-05-16 15:00:00,1816.05,1820.2,1816.05,1817.8
2023-05-16 15:15:00,1817.85,1821.25,1817.25,1820.8
2023-05-16 15:30:00,1821.1,1821.4,1817.65,1817.9
2023-05-16 15:45:00,1817.85,1821.55,1817.35,1819.8
2023-05-16 16:00:00,1819.8,1821.7,1819.65,1820.95
2023-05-16 16:15:00,1821.0,1821.35,1817.85,1817.9
2023-05-16 16:30:00,1818.2,1822.05,1818.15,1821.45
2023-05-16 16:45:00,1821.5,1828.7,1817.55,1823.8
2023-05-16 17:00:00,1824.3,1827.0,1819.7,1820.75
2023-05-16 17:15:00,1820.55,1820.55,1816.45,1817.75
2023-05-16 17:30:00,1817.9,1825.45,1817.55,1824.95
2023-05-16 17:45:00,1825.3,1827.85,1823.2,1827.55
2023-05-16 18:00:00,1827.7,1832.05,1824.3,1824.4
2023-05-16 18:15:00,1824.45,1825.2,1822.65,1823.4
2023-05-16 18:30:00,1823.4,1824.3,1822.7,1822.75
2023-05-16 18:45:00,1822.9,1825.85,1822.9,1825.85
2023-05-16 19:00:00,1825.8,1826.95,1822.4,1824.95
2023-05-16 19:15:00,1824.85,1826.1,1822.65,1824.5
2023-05-16 19:30:00,1824.55,1825.85,1820.8,1821.15
2023-05-16 19:45:00,1821.0,1821.2,1814.7,1816.8
2023-05-16 20:00:00,1816.75,1818.35,1815.15,1818.35
2023-05-16 20:15:00,1818.2,1819.8,1818.0,1819.75
2023-05-16 20:30:00,1819.75,1822.3,1819.6,1822.3
2023-05-16 20:45:00,1822.3,1823.05,1821.1,1821.15
2023-05-16 21:00:00,1821.1,1823.6,1818.35,1823.5
2023-05-16 21:15:00,1823.55,1827.05,1823.15,1826.9
2023-05-16 21:30:00,1826.85,1828.85,1823.6,1828.35
2023-05-16 21:45:00,1828.3,1829.15,1825.95,1826.0
2023-05-16 22:00:00,1826.0,1827.35,1825.65,1826.0
2023-05-16 22:15:00,1826.0,1826.0,1824.0,1824.15
2023-05-16 22:30:00,1824.1,1826.1,1823.7,1823.75
2023-05-16 22:45:00,1823.7,1824.6,1823.0,1823.55
2023-05-16 23:00:00,1823.55,1823.55,1819.6,1821.5
2023-05-16 23:15:00,1821.65,1825.6,1821.6,1823.7
2023-05-16 23:30:00,1823.75,1826.05,1823.4,1823.85
2023-05-16 23:45:00,1823.9,1824.7,1822.7,1824.0
2023-05-17 00:00:00,1824.0,1824.9,1820.75,1824.4
2023-05-17 00:15:00,1824.7,1824.9,1817.95,1818.55
2023-05-17 00:30:00,1818.45,1826.6,1817.7,1822.15
2023-05-17 00:45:00,1822.05,1826.2,1821.3,1825.15
2023-05-17 01:00:00,1825.15,1826.5,1823.8,1824.0
2023-05-17 01:15:00,1823.75,1826.1,1823.1,1826.1
2023-05-17 01:30:00,1826.05,1836.1,1825.9,1831.9
2023-05-17 01:45:00,1831.9,1833.2,1829.0,1830.7
2023-05-17 02:00:00,1830.65,1831.2,1828.8,1831.1
2023-05-17 02:15:00,1831.05,1831.1,1827.3,1827.35
2023-05-17 02:30:00,1827.35,1827.35,1824.55,1825.9
2023-05-17 02:45:00,1825.95,1826.2,1823.25,1823.55
2023-05-17 03:00:00,1823.6,1825.3,1822.75,1824.65
2023-05-17 03:15:00,1824.6,1825.8,1824.6,1825.4
2023-05-17 03:30:00,1825.4,1826.8,1823.7,1826.75
2023-05-17 03:45:00,1826.8,1826.8,1823.65,1823.75
2023-05-17 04:00:00,1823.75,1824.25,1822.8,1823.75
2023-05-17 04:15:00,1823.85,1825.5,1823.5,1825.25
2023-05-17 04:30:00,1825.3,1826.35,1824.95,1825.45
2023-05-17 04:45:00,1825.45,1826.45,1823.8,1823.85
2023-05-17 05:00:00,1823.8,1824.15,1821.75,1821.75
2023-05-17 05:15:00,1821.75,1823.7,1821.1,1822.8
2023-05-17 05:30:00,1822.8,1822.8,1819.4,1820.65
2023-05-17 05:45:00,1820.6,1820.7,1817.45,1817.7
2023-05-17 06:00:00,1816.95,1817.0,1814.2,1816.4
2023-05-17 06:15:00,1816.4,1817.9,1814.45,1816.45
2023-05-17 06:30:00,1816.45,1817.65,1815.75,1817.15
2023-05-17 06:45:00,1817.2,1818.7,1816.45,1816.5
2023-05-17 07:00:00,1816.5,1819.75,1816.45,1819.55
2023-05-17 07:15:00,1819.5,1819.75,1816.95,1818.35
2023-05-17 07:30:00,1818.35,1818.35,1813.75,1813.8
2023-05-17 07:45:00,1813.8,1813.85,1802.7,1806.3
2023-05-17 08:00:00,1805.8,1805.8,1801.0,1803.8
2023-05-17 08:15:00,1803.1,1805.1,1802.95,1804.6
2023-05-17 08:30:00,1804.65,1807.1,1803.7,1806.8
2023-05-17 08:45:00,1806.75,1806.8,1803.6,1804.15
2023-05-17 09:00:00,1804.05,1806.8,1799.8,1803.8
2023-05-17 09:15:00,1803.8,1806.1,1803.0,1804.4
2023-05-17 09:30:00,1804.4,1806.15,1804.3,1805.45
2023-05-17 09:45:00,1805.5,1805.65,1804.45,1805.25
2023-05-17 10:00:00,1805.3,1805.3,1801.8,1802.35
2023-05-17 10:15:00,1802.35,1805.3,1802.3,1805.25
2023-05-17 10:30:00,1805.25,1805.45,1804.3,1804.3
2023-05-17 10:45:00,1804.35,1804.45,1802.2,1804.1
2023-05-17 11:00:00,1804.15,1804.15,1800.65,1802.7
2023-05-17 11:15:00,1802.75,1802.75,1789.8,1793.35
2023-05-17 11:30:00,1793.4,1795.85,1787.4,1787.7
2023-05-17 11:45:00,1787.65,1790.05,1786.9,1788.3
2023-05-17 12:00:00,1788.45,1793.35,1787.45,1792.85
2023-05-17 12:15:00,1792.85,1795.9,1792.05,1792.8
2023-05-17 12:30:00,1792.55,1795.4,1791.55,1791.55
2023-05-17 12:45:00,1791.4,1793.95,1791.4,1793.25
2023-05-17 13:00:00,1793.25,1795.95,1791.55,1795.9
2023-05-17 13:15:00,1795.95,1797.95,1795.95,1797.15
2023-05-17 13:30:00,1796.85,1798.45,1796.5,1796.85
2023-05-17 13:45:00,1796.55,1796.8,1788.7,1790.0
2023-05-17 14:00:00,1789.95,1792.35,1783.95,1791.7
2023-05-17 14:15:00,1791.6,1794.4,1791.3,1792.1
2023-05-17 14:30:00,1792.1,1797.35,1783.85,1796.4
2023-05-17 14:45:00,1795.95,1798.6,1794.25,1796.5
2023-05-17 15:00:00,1796.55,1797.55,1794.8,1797.5
2023-05-17 15:15:00,1797.5,1798.75,1792.3,1795.15
2023-05-17 15:30:00,1795.15,1797.25,1792.95,1794.45
2023-05-17 15:45:00,1794.45,1796.65,1794.05,1796.45
2023-05-17 16:00:00,1796.4,1798.5,1794.3,1795.15
2023-05-17 16:15:00,1795.2,1797.25,1793.75,1795.7
2023-05-17 16:30:00,1795.7,1802.05,1795.45,1799.4
2023-05-17 16:45:00,1799.4,1805.1,1799.4,1803.4
2023-05-17 17:00:00,1803.4,1804.45,1800.05,1803.85
2023-05-17 17:15:00,1803.7,1804.8,1801.75,1804.05
2023-05-17 17:30:00,1803.9,1806.45,1803.2,1806.05
2023-05-17 17:45:00,1806.05,1819.6,1805.9,1814.85
2023-05-17 18:00:00,1814.9,1819.5,1814.9,1818.1
2023-05-17 18:15:00,1818.05,1821.15,1816.9,1820.95
2023-05-17 18:30:00,1820.95,1823.1,1817.75,1817.95
2023-05-17 18:45:00,1817.95,1820.35,1816.95,1817.55
2023-05-17 19:00:00,1817.3,1829.6,1817.3,1827.2
2023-05-17 19:15:00,1827.05,1832.35,1826.75,1827.6
2023-05-17 19:30:00,1828.2,1831.55,1826.75,1829.05
2023-05-17 19:45:00,1829.05,1830.75,1825.45,1826.6
2023-05-17 20:00:00,1826.65,1833.45,1826.65,1828.6
2023-05-17 20:15:00,1828.4,1829.1,1821.65,1824.9
2023-05-17 20:30:00,1824.85,1826.1,1824.2,1824.25
2023-05-17 20:45:00,1824.25,1826.05,1823.95,1824.2
2023-05-17 21:00:00,1824.2,1824.8,1820.5,1822.5
2023-05-17 21:15:00,1822.55,1826.85,1822.4,1824.7
2023-05-17 21:30:00,1824.7,1824.9,1822.2,1822.25
2023-05-17 21:45:00,1822.2,1822.25,1819.4,1821.1
2023-05-17 22:00:00,1821.1,1823.25,1819.05,1821.4
