Date,Trades,Win_Rate_Pct,Net_PnL_Pct,Max_Drawdown_Pct,Sharpe_Ratio
2021-12-31,234,57.5,65.2,16.2,3.85
2022-12-31,256,59.1,88.4,19.5,3.90
2023-12-31,257,58.2,86.5,18.0,3.83
Summary_3_Year,747,58.0,240.1,19.5,3.86
